table,en,fr,ml,pa,hi,pt,es,it
alt,Aqueduc de Saint-Nazaire-en-Royans,Aqueduc de Saint-Nazaire-en-Royans,സാൻ-നസേർ-ആൻ-റോയാനിലെ ജലസേതു,ਸੈਂ-ਨਜ਼ੇਰ-ਆਂ-ਰੋਯਾਂ ਦਾ ਜਲ-ਨਾਲਾ,सैं-नजेर-आं-रॉयां का जलसेतु,Aqueduto de Saint-Nazaire-en-Royans,Acueducto de Saint-Nazaire-en-Royans,Acquedotto di Saint-Nazaire-en-Royans
alt,Arch in Turin,Arche à Turin,ടൂറിനിലെ കമാനം,ਟੂਰਿਨ ਵਿੱਚ ਮਿਹਰਾਬ,तूरिन में मेहराब,Arco em Turim,Arco en Turín,Arco a Torino
alt,Arch of Saint-Trophime Cathedral,Arche de la cathédrale Saint-Trophime,സാൻ-ട്രോഫീം കത്തീഡ്രലിന്റെ കമാനം,ਸੈਂ-ਟ੍ਰੋਫੀਮ ਕੈਥੇਡ੍ਰਲ ਦਾ ਮਿਹਰਾਬ,सैं-त्रोफीम कैथेड्रल का मेहराब,Arco da Catedral de Saint-Trophime,Arco de la Catedral de Saint-Trophime,Arco della Cattedrale di Saint-Trophime
alt,Arches in Turin,Arches à Turin,ടൂറിനിലെ കമാനങ്ങൾ,ਟੂਰਿਨ ਵਿੱਚ ਮਿਹਰਾਬਾਂ,तूरिन में मेहराबें,Arcos em Turim,Arcos en Turín,Archi a Torino
alt,Autumn leaves in Mons,Feuilles d'automne à Mons,മോൺസിലെ ശരത്കാല ഇലകൾ,ਮੋਂਸ ਵਿੱਚ ਪਤਝੜ ਦੇ ਪੱਤੇ,मॉन्स में शरद ऋतु के पत्ते,Folhas de outono em Mons,Hojas de otoño en Mons,Foglie autunnali a Mons
alt,Baptistry San Giovanni Pisa,"Baptistère San Giovanni, Pise","സാൻ ജൊവാന്നി സ്നാനഗൃഹം, പിസ","ਸਾਨ ਜੋਵਾਨੀ ਬੈਪਟਿਸਟ੍ਰੀ, ਪੀਸਾ","सान जोवान्नी बपतिस्मा-गृह, पीसा","Batistério de San Giovanni, Pisa","Baptisterio de San Giovanni, Pisa","Battistero di San Giovanni, Pisa"
alt,Basilica di San Giorgio Maggiore (Venice) - remote view,Basilique San Giorgio Maggiore (Venise) - vue lointaine,സാൻ ജോർജോ മാജോറെ ബസിലിക്ക (വെനീസ്) - ദൂരദൃശ്യം,ਸਾਨ ਜੋਰਜੋ ਮਾਜੋਰੇ ਬੈਸਿਲਿਕਾ (ਵੇਨਿਸ) - ਦੂਰ ਦ੍ਰਿਸ਼,सान जोर्जो माजोरे बेसिलिका (वेनिस) - दूर दृश्य,Basílica de San Giorgio Maggiore (Veneza) - vista distante,Basílica de San Giorgio Maggiore (Venecia) - vista lejana,Basilica di San Giorgio Maggiore (Venezia) - veduta lontana
alt,"Basilica of San Juan de Dios, Granada","Basilique de San Juan de Dios, Grenade","സാൻ ഹ്വാൻ ദെ ദിയോസ് ബസിലിക്ക, ഗ്രനാഡ","ਸਾਨ ਖੁਆਨ ਦੇ ਦਿਓਸ ਬੈਸਿਲਿਕਾ, ਗ੍ਰਾਨਾਦਾ","सान खुआन दे दिओस बेसिलिका, ग्रानादा","Basílica de San Juan de Dios, Granada","Basílica de San Juan de Dios, Granada","Basilica di San Juan de Dios, Granada"
alt,Basilique Saint-Paul de Narbonne,Basilique Saint-Paul de Narbonne,നാർബോണിലെ സാൻ-പോൾ ബസിലിക്ക,ਨਾਰਬੋਨ ਦੀ ਸੈਂ-ਪੋਲ ਬੈਸਿਲਿਕਾ,नारबोन की सैं-पॉल बेसिलिका,Basílica de Saint-Paul de Narbonne,Basílica de Saint-Paul de Narbona,Basilica di Saint-Paul a Narbonne
alt,Bent tree near Mont Saint-Michel,Arbre courbé près du Mont Saint-Michel,മോൺ-സാൻ-മിഷേലിന് സമീപമുള്ള വളഞ്ഞ വൃക്ഷം,ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ ਨੇੜੇ ਝੁਕਿਆ ਰੁੱਖ,मों-सां-मिशेल के पास झुका हुआ पेड़,Árvore curvada perto do Monte Saint-Michel,Árbol curvado cerca del Monte Saint-Michel,Albero piegato vicino a Mont Saint-Michel
alt,Berlin Cathedral,Cathédrale de Berlin,ബർലിൻ കത്തീഡ്രൽ,ਬਰਲਿਨ ਕੈਥੇਡ੍ਰਲ,बर्लिन कैथेड्रल,Catedral de Berlim,Catedral de Berlín,Duomo di Berlino
alt,Bourse Maritime (Bordeaux),Bourse Maritime (Bordeaux),ബോഴ്സ് മാരിതീം (ബോർഡോ),ਬੂਰਸ ਮੈਰੀਤੀਮ (ਬੋਰਡੋ),बूर्स मैरितीम (बोर्डो),Bolsa Marítima (Bordéus),Bolsa Marítima (Burdeos),Borsa Marittima (Bordeaux)
alt,"Bridge connecting two cities, Narbonne","Pont reliant deux villes, Narbonne","രണ്ട് നഗരങ്ങളെ ബന്ധിപ്പിക്കുന്ന പാലം, നാർബോൺ","ਦੋ ਸ਼ਹਿਰਾਂ ਨੂੰ ਜੋੜਨ ਵਾਲਾ ਪੁਲ, ਨਾਰਬੋਨ","दो शहरों को जोड़ने वाला पुल, नारबोन","Ponte que liga duas cidades, Narbonne","Puente que conecta dos ciudades, Narbona","Ponte che collega due città, Narbonne"
alt,"Bridge, Prato della Valle, Padua","Pont, Prato della Valle, Padoue","പാലം, പ്രാറ്റോ ഡെല്ലാ വാല്ലെ, പാദുവ","ਪੁਲ, ਪ੍ਰਾਤੋ ਡੇੱਲਾ ਵਾੱਲੇ, ਪਾਦੂਆ","पुल, प्रातो देल्ला वाल्ले, पादुआ","Ponte, Prato della Valle, Pádua","Puente, Prato della Valle, Padua","Ponte, Prato della Valle, Padova"
alt,Building in Genoa,Bâtiment à Gênes,ജെനോവയിലെ കെട്ടിടം,ਜੇਨੋਆ ਵਿੱਚ ਇਮਾਰਤ,जेनोआ में इमारत,Edifício em Génova,Edificio en Génova,Edificio a Genova
alt,Byzantine Icon Athens,"Icône byzantine, Athènes","ബൈസന്റൈൻ ഐക്കൺ, ഏഥൻസ്","ਬਾਈਜ਼ੈਂਟਾਈਨ ਆਈਕਨ, ਏਥਨਜ਼","बीज़ान्टिन आइकन, एथेंस","Ícone bizantino, Atenas","Icono bizantino, Atenas","Icona bizantina, Atene"
alt,Cathédrale Sainte-Marie-Majeure,Cathédrale Sainte-Marie-Majeure,സാന്ത്-മാരി-മജേർ കത്തീഡ്രൽ,ਸੈਂਤ-ਮਾਰੀ-ਮਾਜੇਰ ਕੈਥੇਡ੍ਰਲ,सैंत-मारी-मजेर कैथेड्रल,Catedral de Sainte-Marie-Majeure,Catedral de Sainte-Marie-Majeure,Cattedrale di Sainte-Marie-Majeure
alt,Ceiling of the Cathedral of Granada,Plafond de la cathédrale de Grenade,ഗ്രനാഡ കത്തീഡ്രലിന്റെ മേൽത്തട്ട്,ਗ੍ਰਾਨਾਦਾ ਦੇ ਕੈਥੇਡ੍ਰਲ ਦੀ ਛੱਤ,ग्रानादा के कैथेड्रल की छत,Teto da Catedral de Granada,Techo de la Catedral de Granada,Soffitto della Cattedrale di Granada
alt,"Ceiling, Église Sainte-Marie-Madeleine de Pérouges","Plafond, Église Sainte-Marie-Madeleine de Pérouges",സാന്ത്-മാരി-മദ്‌ലെൻ ദെ പേരൂജ് പള്ളിയുടെ മേൽത്തട്ട്,ਸੈਂਤ-ਮਾਰੀ-ਮਾਦਲੇਨ ਦੇ ਪੇਰੂਜ ਗਿਰਜਾਘਰ ਦੀ ਛੱਤ,सैंत-मारी-मादलेन दे पेरूज गिरजाघर की छत,"Teto, Igreja de Sainte-Marie-Madeleine de Pérouges","Techo, Iglesia de Sainte-Marie-Madeleine de Pérouges","Soffitto, Chiesa di Sainte-Marie-Madeleine a Pérouges"
alt,Chairs Stockholm,"Chaises, Stockholm","കസേരകൾ, സ്റ്റോക്ക്ഹോം","ਕੁਰਸੀਆਂ, ਸਟਾਕਹੋਮ","कुर्सियाँ, स्टॉकहोम","Cadeiras, Estocolmo","Sillas, Estocolmo","Sedie, Stoccolma"
alt,"Chapel of St. George Sarandaris, Chersonissos","Chapelle Saint-Georges Sarandaris, Chersónissos","സെന്റ് ജോർജ് സരന്ദാരിസ് ചാപ്പൽ, ഹെർസോണിസോസ്","ਸੇਂਟ ਜਾਰਜ ਸਰੰਦਾਰਿਸ ਚੈਪਲ, ਹੇਰਸੋਨਿਸੋਸ","सेंट जॉर्ज सरंदारिस चैपल, हेर्सोनिसोस","Capela de São Jorge Sarandaris, Chersonissos","Capilla de San Jorge Sarandaris, Hersonissos","Cappella di San Giorgio Sarandaris, Chersonissos"
alt,Chapelle Saint-Aaron,Chapelle Saint-Aaron,സാൻ-ആരോൺ ചാപ്പൽ,ਸੈਂ-ਆਰੋਂ ਚੈਪਲ,सैं-आरों चैपल,Capela de Saint-Aaron,Capilla de Saint-Aaron,Cappella di Saint-Aaron
alt,Christmas lights in Nantes,Illuminations de Noël à Nantes,നാന്തിലെ ക്രിസ്മസ് വിളക്കുകൾ,ਨਾਂਤ ਵਿੱਚ ਕ੍ਰਿਸਮਸ ਦੀਆਂ ਰੋਸ਼ਨੀਆਂ,नांत में क्रिसमस की रोशनी,Luzes de Natal em Nantes,Luces navideñas en Nantes,Luci di Natale a Nantes
alt,Church Stary Sącz,"Église, Stary Sącz","പള്ളി, സ്റ്റാരി-സോഞ്ച്","ਗਿਰਜਾਘਰ, ਸਟਾਰੀ-ਸੋਂਚ","गिरजाघर, स्तारी-सॉन्च","Igreja, Stary Sącz","Iglesia, Stary Sącz","Chiesa, Stary Sącz"
alt,Church in Stary Sącz,Église à Stary Sącz,സ്റ്റാരി-സോഞ്ചിലെ പള്ളി,ਸਟਾਰੀ-ਸੋਂਚ ਵਿੱਚ ਗਿਰਜਾਘਰ,स्तारी-सॉन्च में गिरजाघर,Igreja em Stary Sącz,Iglesia en Stary Sącz,Chiesa a Stary Sącz
alt,Church of Megali Panagia Athens,"Église de Megali Panagia, Athènes","മേഗാലി പനാഗിയ പള്ളി, ഏഥൻസ്","ਮੇਗਾਲੀ ਪਨਾਗੀਆ ਚਰਚ, ਏਥਨਜ਼","मेगाली पनागिया चर्च, एथेंस","Igreja de Megali Panagia, Atenas","Iglesia de Megali Panagia, Atenas","Chiesa di Megali Panagia, Atene"
alt,"Church, Perouges","Église, Pérouges","പള്ളി, പേരൂജ്","ਗਿਰਜਾਘਰ, ਪੇਰੂਜ","गिरजाघर, पेरूज","Igreja, Pérouges","Iglesia, Pérouges","Chiesa, Pérouges"
alt,Château d'eau du Peyrou (Montpellier),Château d'eau du Peyrou (Montpellier),ജലഗോപുരം ദ്യൂ പെയ്റൂ (മോംപെലിയേ),ਜਲ-ਮੀਨਾਰ ਦਯੂ ਪੇਰੂ (ਮੋਂਪੇਲੀਏ),जल मीनार दयू पेरू (मोंपेलिये),Torre de água du Peyrou (Montpellier),Depósito de agua du Peyrou (Montpellier),Torre dell'acqua du Peyrou (Montpellier)
alt,Château de Tournoël View,Vue du Château de Tournoël,ഷാറ്റോ ദെ ടൂർനോലിന്റെ ദൃശ്യം,ਸ਼ਾਤੋ ਦੇ ਤੂਰਨੋਲ ਦਾ ਦ੍ਰਿਸ਼,शातो दे तूरनोल का दृश्य,Vista do Château de Tournoël,Vista del Château de Tournoël,Veduta del Château de Tournoël
alt,Château des ducs de Bretagne (Nantes),Château des ducs de Bretagne (Nantes),ഷാറ്റോ ദേ ദ്യൂക് ദെ ബ്രെത്താഞ് (നാന്ത്),ਸ਼ਾਤੋ ਦੇ ਦਯੂਕ ਦੇ ਬ੍ਰੇਤਾਞ (ਨਾਂਤ),शातो दे दयूक दे ब्रेताञ (नांत),Castelo dos Duques da Bretanha (Nantes),Castillo de los Duques de Bretaña (Nantes),Castello dei Duchi di Bretagna (Nantes)
alt,Cistern of the Chaplaincy of the Mont Saint-Michel Abbey,Citerne de l'aumônerie de l'abbaye du Mont Saint-Michel,മോൺ-സാൻ-മിഷേൽ ആശ്രമത്തിലെ ചാപ്ലെൻസിയുടെ ജലസംഭരണി,ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ ਦੇ ਮੱਠ ਦੀ ਚੈਪਲੈਂਸੀ ਦੀ ਜਲ-ਟੈਂਕੀ,मों-सां-मिशेल मठ के पादरीगृह का जलकुंड,Cisterna da capelania da Abadia do Monte Saint-Michel,Cisterna de la capellanía de la Abadía del Monte Saint-Michel,Cisterna della cappellania dell'Abbazia di Mont Saint-Michel
alt,Cour Saint Eutrope,Cour Saint Eutrope,കൂർ സാൻ യൂട്രോപ്പ്,ਕੂਰ ਸੈਂ ਯੂਟ੍ਰੋਪ,कूर सैं यूट्रोप,Cour Saint Eutrope,Cour Saint Eutrope,Cour Saint Eutrope
alt,"Cour du Corbeau, Strasbourg","Cour du Corbeau, Strasbourg","കൂർ ദ്യൂ കോർബോ, സ്ട്രാസ്ബൂർഗ്","ਕੂਰ ਦਯੂ ਕੋਰਬੋ, ਸਟ੍ਰਾਸਬੁਰਗ","कूर दयू कोरबो, स्ट्रासबुर्ग","Cour du Corbeau, Estrasburgo","Cour du Corbeau, Estrasburgo","Cour du Corbeau, Strasburgo"
alt,Door in Florence,Porte à Florence,ഫ്ലോറൻസിലെ വാതിൽ,ਫਲੋਰੈਂਸ ਵਿੱਚ ਦਰਵਾਜ਼ਾ,फ्लोरेंस में दरवाज़ा,Porta em Florença,Puerta en Florencia,Porta a Firenze
alt,"Door of Santa Giustina, Padua","Porte de Santa Giustina, Padoue","സാന്താ ജ്യൂസ്റ്റീനയുടെ വാതിൽ, പാദുവ","ਸਾਂਤਾ ਜੂਸਤੀਨਾ ਦਾ ਦਰਵਾਜ਼ਾ, ਪਾਦੂਆ","सांता जुस्तीना का दरवाज़ा, पादुआ","Porta de Santa Giustina, Pádua","Puerta de Santa Giustina, Padua","Porta di Santa Giustina, Padova"
alt,"Door, Mariacka Street in Katowice","Porte, rue Mariacka à Katowice","വാതിൽ, കാറ്റോവിസിലെ മാരിയാക്ക തെരുവ്","ਦਰਵਾਜ਼ਾ, ਕਾਤੋਵੀਤਸੇ ਵਿੱਚ ਮਾਰੀਆਕਾ ਗਲੀ","दरवाज़ा, कातोवित्से में मारियाका स्ट्रीट","Porta, Rua Mariacka em Katowice","Puerta, Calle Mariacka en Katowice","Porta, Via Mariacka a Katowice"
alt,"Double Rainbow, Lyon","Double arc-en-ciel, Lyon","ഇരട്ട മഴവില്ല്, ലിയോൺ","ਦੋਹਰਾ ਸਤਰੰਗੀ ਪੀਂਘ, ਲਿਓਂ","दोहरा इंद्रधनुष, ल्यों","Arco-íris duplo, Lyon","Doble arcoíris, Lyon","Doppio arcobaleno, Lione"
alt,Drawing Barcelona,"Dessin, Barcelone","ചിത്രം, ബാഴ്സലോണ","ਚਿੱਤਰ, ਬਾਰਸਿਲੋਨਾ","चित्र, बार्सिलोना","Desenho, Barcelona","Dibujo, Barcelona","Disegno, Barcellona"
alt,Eglise Saint-Pierre du Mont Saint-Michel,Église Saint-Pierre du Mont Saint-Michel,മോൺ-സാൻ-മിഷേലിലെ സാൻ-പിയേർ പള്ളി,ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ ਦਾ ਸੈਂ-ਪੀਅਰ ਗਿਰਜਾਘਰ,मों-सां-मिशेल का सैं-पियर गिरजाघर,Igreja de Saint-Pierre do Monte Saint-Michel,Iglesia de Saint-Pierre del Monte Saint-Michel,Chiesa di Saint-Pierre a Mont Saint-Michel
alt,Església de Sant Francesc de Sales Barcelona,"Église de Sant Francesc de Sales, Barcelone","സാന്ത് ഫ്രാൻസെസ്ക് ദെ സാലെസ് പള്ളി, ബാഴ്സലോണ","ਸਾਂਤ ਫ੍ਰਾਂਸੇਸਕ ਦੇ ਸਾਲੇਸ ਗਿਰਜਾਘਰ, ਬਾਰਸਿਲੋਨਾ","सांत फ्रांसेस्क दे सालेस गिरजाघर, बार्सिलोना","Igreja de Sant Francesc de Sales, Barcelona","Iglesia de Sant Francesc de Sales, Barcelona","Chiesa di Sant Francesc de Sales, Barcellona"
alt,Evening Sky,Ciel du soir,സന്ധ്യാകാശം,ਸ਼ਾਮ ਦਾ ਅਸਮਾਨ,सांध्य आकाश,Céu ao entardecer,Cielo al atardecer,Cielo serale
alt,Exterior of Basilique Saint-Nazaire de Carcassonne,Extérieur de la basilique Saint-Nazaire de Carcassonne,കാർകസോണിലെ സാൻ-നസേർ ബസിലിക്കയുടെ പുറംഭാഗം,ਕਾਰਕਾਸੋਨ ਦੀ ਸੈਂ-ਨਜ਼ੇਰ ਬੈਸਿਲਿਕਾ ਦਾ ਬਾਹਰੀ ਹਿੱਸਾ,कारकासोन की सैं-नजेर बेसिलिका का बाहरी भाग,Exterior da Basílica de Saint-Nazaire de Carcassonne,Exterior de la Basílica de Saint-Nazaire de Carcasona,Esterno della Basilica di Saint-Nazaire a Carcassonne
alt,Exterior of Cathédrale Saint-Pierre de Montpellier,Extérieur de la cathédrale Saint-Pierre de Montpellier,മോംപെലിയേയിലെ സാൻ-പിയേർ കത്തീഡ്രലിന്റെ പുറംഭാഗം,ਮੋਂਪੇਲੀਏ ਦੇ ਸੈਂ-ਪੀਅਰ ਕੈਥੇਡ੍ਰਲ ਦਾ ਬਾਹਰੀ ਹਿੱਸਾ,मोंपेलिये के सैं-पियर कैथेड्रल का बाहरी भाग,Exterior da Catedral de Saint-Pierre de Montpellier,Exterior de la Catedral de Saint-Pierre de Montpellier,Esterno della Cattedrale di Saint-Pierre a Montpellier
alt,Exterior of Cathédrale Saint-Pierre de Rennes,Extérieur de la cathédrale Saint-Pierre de Rennes,റെന്നയിലെ സാൻ-പിയേർ കത്തീഡ്രലിന്റെ പുറംഭാഗം,ਰੇਨ ਦੇ ਸੈਂ-ਪੀਅਰ ਕੈਥੇਡ੍ਰਲ ਦਾ ਬਾਹਰੀ ਹਿੱਸਾ,रेन के सैं-पियर कैथेड्रल का बाहरी भाग,Exterior da Catedral de Saint-Pierre de Rennes,Exterior de la Catedral de Saint-Pierre de Rennes,Esterno della Cattedrale di Saint-Pierre a Rennes
alt,Exterior of Mary Magdalene Church in Wrocław,Extérieur de l'église Sainte-Marie-Madeleine à Wrocław,വ്രോത്സ്വാവിലെ മേരി മഗ്ദലന പള്ളിയുടെ പുറംഭാഗം,ਵ੍ਰੋਤਸਵਾਫ ਵਿੱਚ ਮੈਰੀ ਮੈਗਡਲੀਨ ਗਿਰਜਾਘਰ ਦਾ ਬਾਹਰੀ ਹਿੱਸਾ,व्रॉत्सवाफ में मैरी मैग्डलीन चर्च का बाहरी भाग,Exterior da Igreja de Maria Madalena em Wrocław,Exterior de la Iglesia de María Magdalena en Wrocław,Esterno della Chiesa di Maria Maddalena a Wrocław
alt,"Exterior of Saint-Pierre-le-Jeune Protestant Church, Strasbourg","Extérieur de l'église protestante Saint-Pierre-le-Jeune, Strasbourg","സാൻ-പിയേർ-ലെ-ഷ്യൂൻ പ്രൊട്ടസ്റ്റന്റ് പള്ളിയുടെ പുറംഭാഗം, സ്ട്രാസ്ബൂർഗ്","ਸੈਂ-ਪੀਅਰ-ਲੇ-ਜਨ ਪ੍ਰੋਟੈਸਟੈਂਟ ਗਿਰਜਾਘਰ ਦਾ ਬਾਹਰੀ ਹਿੱਸਾ, ਸਟ੍ਰਾਸਬੁਰਗ","सैं-पियर-ले-जन प्रोटेस्टेंट गिरजाघर का बाहरी भाग, स्ट्रासबुर्ग","Exterior da Igreja Protestante Saint-Pierre-le-Jeune, Estrasburgo","Exterior de la Iglesia Protestante Saint-Pierre-le-Jeune, Estrasburgo","Esterno della Chiesa Protestante Saint-Pierre-le-Jeune, Strasburgo"
alt,Exterior of Théâtre Graslin,Extérieur du Théâtre Graslin,തിയാത്ര് ഗ്രാസ്ലിന്റെ പുറംഭാഗം,ਥੀਆਤ੍ਰ ਗ੍ਰਾਸਲੈਂ ਦਾ ਬਾਹਰੀ ਹਿੱਸਾ,थिआत्र ग्रास्लां का बाहरी भाग,Exterior do Théâtre Graslin,Exterior del Théâtre Graslin,Esterno del Théâtre Graslin
alt,Exterior view of Immaculate Conception church in Katowice,Vue extérieure de l'église de l'Immaculée-Conception à Katowice,കാറ്റോവിസിലെ അമലോത്ഭവ പള്ളിയുടെ പുറംദൃശ്യം,ਕਾਤੋਵੀਤਸੇ ਵਿੱਚ ਇਮੈਕੁਲੇਟ ਕਨਸੈਪਸ਼ਨ ਗਿਰਜਾਘਰ ਦਾ ਬਾਹਰੀ ਦ੍ਰਿਸ਼,कातोवित्से में इमैकुलेट कन्सेप्शन गिरजाघर का बाहरी दृश्य,Vista exterior da Igreja da Imaculada Conceição em Katowice,Vista exterior de la Iglesia de la Inmaculada Concepción en Katowice,Vista esterna della Chiesa dell'Immacolata Concezione a Katowice
alt,Facade details of Cathedral of Granada in Plaza de las Pasiegas,Détails de la façade de la cathédrale de Grenade sur la Plaza de las Pasiegas,പ്ലാസ ദെ ലാസ് പാസിയേഗാസിലെ ഗ്രനാഡ കത്തീഡ്രലിന്റെ മുൻഭാഗ വിശദാംശങ്ങൾ,ਪਲਾਜ਼ਾ ਦੇ ਲਾਸ ਪਾਸੀਏਗਾਸ ਵਿੱਚ ਗ੍ਰਾਨਾਦਾ ਦੇ ਕੈਥੇਡ੍ਰਲ ਦੇ ਅਗਲੇ ਹਿੱਸੇ ਦੇ ਵੇਰਵੇ,प्लाज़ा दे लास पासिएगास में ग्रानादा के कैथेड्रल के अग्रभाग का विवरण,Detalhes da fachada da Catedral de Granada na Plaza de las Pasiegas,Detalles de la fachada de la Catedral de Granada en la Plaza de las Pasiegas,Dettagli della facciata della Cattedrale di Granada in Plaza de las Pasiegas
alt,"Façade with wood, Pérouges","Façade en bois, Pérouges","തടി കൊണ്ടുള്ള മുൻഭാഗം, പേരൂജ്","ਲੱਕੜ ਵਾਲਾ ਅਗਲਾ ਹਿੱਸਾ, ਪੇਰੂਜ","लकड़ी का अग्रभाग, पेरूज","Fachada de madeira, Pérouges","Fachada de madera, Pérouges","Facciata in legno, Pérouges"
alt,Fisherman's Bastion Budapest,"Bastion des pêcheurs, Budapest","ഫിഷർമാൻസ് ബാസ്റ്റ്യൺ, ബുഡാപെസ്റ്റ്","ਫਿਸ਼ਰਮੈਨਜ਼ ਬੇਸ਼ਨ, ਬੁਡਾਪੇਸਟ","फ़िशरमैन्स बेस्शन, बुडापेस्ट","Bastião dos Pescadores, Budapeste","Bastión de los Pescadores, Budapest","Bastione dei Pescatori, Budapest"
